time_ajustado	gFy
1.02673015	0.246
1.02710781	0.2462
1.02771890	0.2467
1.02889427	0.248
1.03620593	0.2506
1.03751989	0.2521
1.03830807	0.2526
1.03945026	0.2536
1.04033666	0.2548
1.04106093	0.2572
1.04158109	0.2599
1.04216281	0.2629
1.04316406	0.2643
1.04375515	0.2653
1.04446166	0.267
1.04489328	0.2685
1.04531411	0.2695
1.04591859	0.2712
1.04782536	0.2722
1.04942854	0.2722
1.04998630	0.2726
1.05158020	0.2734
1.05250645	0.2739
1.05374177	0.2744
1.05510375	0.2744
1.05584260	0.2746
1.05685302	0.2753
1.05812270	0.2751
1.05961307	0.2758
1.06055213	0.2761
1.06180796	0.2751
1.06350739	0.2744
1.06533906	0.2746
1.06647921	0.2739
1.06709927	0.2731
1.06870322	0.2729
1.06926447	0.2722
1.07090953	0.2709
1.07152958	0.2695
1.07269947	0.2687
1.07404911	0.2682
1.07531067	0.268
1.07644093	0.2656
1.07808619	0.2636
1.07872666	0.2624
1.07998239	0.2607
1.08160520	0.2595
1.08296911	0.2577
1.08387416	0.256
1.08551328	0.2555
1.08631848	0.2541
1.08722182	0.2511
1.08830968	0.2487
1.08953552	0.2472
1.09127578	0.246
1.09239802	0.245
1.09308114	0.2436
1.09466317	0.2421
1.09754791	0.2401
1.09809859	0.2389
1.09855645	0.2382
1.10068531	0.2377
1.10137203	0.2367
1.10187390	0.236
1.10331791	0.2372
1.10424385	0.2377
1.10548057	0.2365
1.10662895	0.2357
1.10801671	0.2357
1.11098333	0.2355
1.11140291	0.2345
1.11163348	0.2338
1.11247755	0.2331
1.11445671	0.2335
1.11530859	0.2343
1.11619276	0.2343
1.11743588	0.2348
1.11859708	0.2335
1.11969078	0.2321
1.12100916	0.2318
1.12209677	0.2316
1.12348421	0.2313
1.12450125	0.2318
1.12589359	0.2313
1.12723026	0.2309
1.12822015	0.2318
1.12937348	0.2323
1.13182578	0.2323
1.13250921	0.2323
1.13342187	0.2321
1.13507661	0.2323
1.13627802	0.2338
1.13726744	0.2357
1.13819656	0.237
1.13970276	0.2377
1.14051322	0.2382
1.14158838	0.2382
1.14312369	0.2377
1.14405786	0.2384
1.14526734	0.2394
1.14661963	0.2394
1.15235041	0.2389
1.15312489	0.2387
1.15367171	0.2379
1.15413531	0.2375
1.15472651	0.2389
1.15517937	0.2416
1.15561437	0.2436
1.15619619	0.2443
1.15758093	0.2448
1.15866968	0.2445
1.16010822	0.245
1.16117651	0.2465
1.16233458	0.2475
1.16388682	0.2484
1.16800375	0.2497
1.16878302	0.2504
1.16929005	0.2514
1.16977802	0.2521
1.17022880	0.2526
1.17117260	0.2533
1.17208895	0.2541
1.17320859	0.255
1.17439812	0.2558
1.17569005	0.2565
1.17703895	0.2567
1.17795838	0.2567
1.17935031	0.257
1.18057348	0.2572
1.18434281	0.2577
1.18509911	0.2585
1.18563869	0.2585
1.18645109	0.2587
1.1871425	0.2599
1.18815354	0.2604
1.18929812	0.2599
1.19040260	0.2597
1.19163026	0.2597
1.19279640	0.2595
1.19417229	0.259
1.19531630	0.2575
1.19647510	0.256
1.20167984	0.2553
1.20245161	0.2543
1.20306359	0.2526
1.20350921	0.2514
1.20397864	0.2494
1.2044	0.247
1.20504697	0.2448
1.20585088	0.2428
1.20717276	0.2421
1.20842010	0.2414
1.20939057	0.2401
1.21065875	0.2389
1.21261494	0.2379
1.21442468	0.2375
1.21539307	0.2377
1.21892213	0.2375
1.21953119	0.2362
1.21989958	0.2353
1.22019296	0.2345
1.22046703	0.2333
1.22166411	0.2321
1.22302755	0.2309
1.22390546	0.2301
1.22511552	0.2301
1.22653942	0.2284
1.22752375	0.2228
1.22877807	0.2208
1.23001953	0.2255
1.23253114	0.2294
1.23324187	0.2287
